City,Latitude,Longitude,Gender,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Unlimited Data,Online Security,Online Backup,Device Protection,Tech Support,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Contract,Payment Method,Offer,Referred a Friend,Number of Referrals,Monthly Charges,Total Charges,Avg Monthly Long Distance Charges,Total Long Distance Charges,Avg Monthly GB Download,Total Extra Data Charges,Total Revenue,Total Refunds,Tenure Months,CLTV,Satisfaction Score,Customer Status,Churn Label,Churn Category,Churn Reason
Marina Del Rey,33.977468,-118.445475,Female,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No,No,No,Month-to-month,Electronic check,,No,0,78.95,927.35,25.34,304.08,56,80,1311.43,0.0,12,5806,1,Churned,Yes,Attitude,Attitude of support person
Inglewood,33.956445,-118.358634,Male,No,No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Mailed check,Offer E,No,0,21.05,113.85,34.26,171.29999999999998,0,0,285.15,0.0,5,2604,3,Churned,Yes,Attitude,Attitude of support person
Inglewood,33.936291,-118.332639,Female,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Electronic check,Offer C,Yes,1,98.5,2514.5,19.76,494.00000000000006,12,0,2995.07,13.43,25,5337,2,Churned,Yes,Dissatisfaction,Limited range of services
Santa Monica,34.031529,-118.491156,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),Offer A,Yes,4,110.0,7611.85,14.79,1005.72,47,0,8617.57,0.0,68,5034,2,Churned,Yes,Competitor,Competitor had better devices
Torrance,33.867257,-118.330794,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,Electronic check,,No,0,96.75,5238.9,49.06,2698.3,27,0,7937.2,0.0,55,5154,1,Churned,Yes,Price,Long distance charges
Whittier,33.972119,-118.020188,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer C,Yes,1,76.5,2868.15,6.33,234.21,14,0,3102.36,0.0,37,2793,2,Churned,Yes,Price,Extra data charges
Whittier,33.976678,-118.065875,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,,Yes,1,100.25,1064.65,24.48,244.8,30,0,1309.45,0.0,10,5998,2,Churned,Yes,Price,Price too high
La Habra,33.940619,-117.9513,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Electronic check,Offer E,No,0,74.4,229.55,14.6,43.8,71,0,264.61,8.74,3,4415,1,Churned,Yes,Dissatisfaction,Product dissatisfaction
Pico Rivera,33.989524,-118.089299,Female,No,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,No,No,No,Month-to-month,Electronic check,Offer C,No,0,78.05,2135.5,3.33,89.91,18,10,2235.41,0.0,27,4638,1,Churned,Yes,Competitor,Competitor had better devices
Avalon,33.391181,-118.421305,Female,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),Offer C,Yes,6,58.6,1502.65,0.0,0.0,48,0,1498.17,4.48,25,4190,1,Churned,Yes,Attitude,Attitude of support person
Harbor City,33.798266,-118.300237,Male,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,Offer E,No,0,35.45,35.45,0.0,0.0,22,0,35.45,0.0,1,2301,3,Churned,Yes,Dissatisfaction,Network reliability
Lakewood,33.840524,-118.148403,Male,No,No,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer E,No,0,44.35,81.25,46.84,93.68,3,0,174.93,0.0,2,2570,3,Churned,Yes,Other,Don't know
Los Alamitos,33.79499,-118.065591,Female,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Mailed check,Offer E,Yes,1,70.45,70.45,15.28,15.28,30,0,85.73,0.0,1,3964,2,Churned,Yes,Other,Don't know
San Pedro,33.736387,-118.284363,Female,No,No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,Offer E,No,0,71.15,563.65,48.14,385.12,18,0,948.77,0.0,8,2662,1,Churned,Yes,Other,Don't know
Carson,33.822295,-118.26411,Male,No,No,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer E,No,0,45.65,45.65,14.12,14.12,24,0,59.77,0.0,1,2600,1,Churned,Yes,Competitor,Competitor had better devices
Long Beach,33.783047,-118.1486,Male,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Mailed check,Offer E,No,0,95.0,655.5,20.52,143.64,28,10,772.54,36.6,7,2786,1,Churned,Yes,Competitor,Competitor had better devices
Altadena,34.196837,-118.142236,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Electronic check,,Yes,5,82.4,1592.35,36.6,732.0,51,0,2290.92,33.43,20,5719,1,Churned,Yes,Price,Price too high
Monrovia,34.1528,-118.000482,Female,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),Offer E,No,0,70.9,273.0,33.5,134.0,27,0,398.26,8.74,4,4287,1,Churned,Yes,Dissatisfaction,Product dissatisfaction
Sierra Madre,34.168686,-118.057505,Male,Yes,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,Offer B,Yes,6,45.3,2651.2,0.0,0.0,24,0,2610.25,40.95,58,5444,1,Churned,Yes,Dissatisfaction,Service dissatisfaction
Tujunga,34.296574,-118.244839,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Offer E,Yes,1,104.4,242.8,11.51,23.02,53,0,220.38,45.44,2,4690,3,Churned,Yes,Attitude,Attitude of support person
Pasadena,34.167465,-118.165327,Female,Yes,No,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,One year,Bank transfer (automatic),,Yes,5,94.85,5000.2,40.62,2152.86,73,0,7134.509999999999,18.55,53,4328,1,Churned,Yes,Competitor,Competitor had better devices
Pasadena,34.139402,-118.128658,Female,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Mailed check,Offer D,No,0,74.45,1145.7,44.07,661.05,19,0,1806.75,0.0,15,5717,2,Churned,Yes,Dissatisfaction,Limited range of services
Pasadena,34.159007,-118.087353,Female,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),Offer E,No,0,76.45,503.6,26.95,188.65,18,0,681.2,11.05,7,4419,2,Churned,Yes,Price,Lack of affordable download/upload speed
Glendale,34.167926,-118.267539,Female,No,No,No,No phone service,DSL,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),Offer E,No,0,29.95,29.95,0.0,0.0,27,0,29.95,0.0,1,4534,1,Churned,Yes,Competitor,Competitor had better devices
Glendale,34.136306,-118.26036,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Offer E,No,0,84.5,662.65,25.73,205.84,19,0,835.28,33.21,8,2152,2,Churned,Yes,Price,Extra data charges
Glendale,34.162515,-118.203869,Female,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Electronic check,,No,0,79.25,1111.65,33.54,436.02,76,0,1499.42,48.25,13,5142,1,Churned,Yes,Competitor,Competitor had better devices
Glendale,34.182378,-118.262922,Female,Yes,No,No,No phone service,DSL,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Electronic check,Offer E,Yes,4,24.8,24.8,0.0,0.0,29,0,24.8,0.0,1,4851,1,Churned,Yes,Dissatisfaction,Product dissatisfaction
Canoga Park,34.224377,-118.632656,Male,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Electronic check,,Yes,5,91.0,531.0,42.08,252.48,29,0,783.48,0.0,6,2283,2,Churned,Yes,Dissatisfaction,Service dissatisfaction
Mission Hills,34.266389,-118.459744,Male,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,,No,0,79.9,79.9,23.2,23.2,21,0,103.1,0.0,1,3394,2,Churned,Yes,Attitude,Attitude of support person
Santa Clarita,34.502432,-118.41459,Female,No,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,,No,0,106.6,1934.45,28.35,538.65,19,40,2491.38,21.72,19,3764,1,Churned,Yes,Dissatisfaction,Network reliability
Sun Valley,34.231053,-118.338307,Male,No,No,Yes,No,DSL,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Credit card (automatic),,No,0,46.0,84.5,49.81,99.62,41,0,184.12,0.0,2,2667,3,Churned,Yes,Other,Don't know
Stevenson Ranch,34.364153,-118.615583,Female,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,,No,0,70.15,268.35,29.4,117.6,17,0,364.26,21.69,4,2227,2,Churned,Yes,Other,Don't know
Panorama City,34.223768,-118.445461,Male,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,Mailed check,,Yes,2,50.05,179.35,9.67,38.68,22,0,218.03,0.0,4,3394,2,Churned,Yes,Competitor,Competitor made better offer
Van Nuys,34.17847,-118.459472,Female,Yes,No,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Month-to-month,Mailed check,,No,0,55.2,55.2,35.6,35.6,58,0,90.8,0.0,1,3638,2,Churned,Yes,Dissatisfaction,Poor expertise of online support
Burbank,34.213049,-118.317651,Male,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Mailed check,,No,0,84.6,84.6,26.85,26.85,11,0,111.45,0.0,1,2484,2,Churned,Yes,Dissatisfaction,Poor expertise of phone support
North Hollywood,34.1692,-118.372498,Male,No,No,Yes,Yes,DSL,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-month,Mailed check,,No,0,54.4,114.1,44.31,88.62,73,0,202.72,0.0,2,2556,3,Churned,Yes,Price,Price too high
North Hollywood,34.207295,-118.400022,Female,No,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,No,Month-to-month,Electronic check,Offer D,No,0,95.0,1120.3,11.59,127.49,29,120,1367.79,0.0,11,5980,1,Churned,Yes,Dissatisfaction,Product dissatisfaction
Covina,34.097345,-117.906736,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Electronic check,Offer D,No,0,74.4,1074.3,29.11,436.65,29,0,1510.9499999999998,0.0,15,4616,1,Churned,Yes,Competitor,Competitor had better devices
Covina,34.084747,-117.886844,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Mailed check,,No,0,48.55,48.55,11.35,11.35,9,0,59.9,0.0,1,5687,1,Churned,Yes,Attitude,Attitude of support person
El Monte,34.079934,-118.046695,Female,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,,Yes,1,70.4,147.15,46.23,92.46,21,0,239.61,0.0,2,5687,1,Churned,Yes,Dissatisfaction,Network reliability
El Monte,34.074492,-118.01462,Male,Yes,No,No,No phone service,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Month-to-month,Electronic check,Offer E,Yes,1,40.2,40.2,0.0,0.0,12,0,40.2,0.0,1,5828,2,Churned,Yes,Dissatisfaction,Limited range of services
La Puente,34.031441,-117.936436,Female,Yes,No,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Credit card (automatic),Offer E,Yes,3,44.6,80.55,30.19,60.38,16,0,140.93,0.0,2,4884,2,Churned,Yes,Price,Lack of affordable download/upload speed
La Puente,34.038983,-117.991372,Male,No,No,No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Electronic check,Offer E,No,0,41.15,132.2,0.0,0.0,28,0,132.2,0.0,3,2314,2,Churned,Yes,Price,Long distance charges
Rowland Heights,33.976753,-117.897367,Male,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Electronic check,Offer D,No,0,106.9,1364.3,32.68,424.84,11,10,1799.14,0.0,13,2494,1,Churned,Yes,Competitor,Competitor had better devices
Ontario,34.057256,-117.667677,Male,No,No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Mailed check,,No,0,19.35,1099.6,26.63,1571.1699999999998,0,0,2656.55,14.22,59,5084,3,Churned,Yes,Price,Price too high
Ontario,34.074087,-117.605618,Female,No,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Offer D,No,0,94.45,1511.2,9.43,150.88,9,0,1662.08,0.0,16,3810,1,Churned,Yes,Competitor,Competitor had better devices
Pomona,34.042286,-117.756106,Male,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),Offer E,No,0,24.8,24.8,0.0,0.0,29,0,24.8,0.0,1,5087,2,Churned,Yes,Dissatisfaction,Service dissatisfaction
Pomona,34.067932,-117.785168,Male,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Mailed check,Offer E,No,0,70.6,70.6,44.59,44.59,41,0,115.19,0.0,1,3338,2,Churned,Yes,Attitude,Attitude of support person
Rosemead,34.065108,-118.082791,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,No,No,Month-to-month,Electronic check,Offer E,Yes,1,85.4,401.1,42.29,211.45,16,0,567.1800000000001,45.37,5,3676,3,Churned,Yes,Dissatisfaction,Network reliability
San Dimas,34.102119,-117.815532,Female,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,,Yes,6,105.05,5624.85,10.59,550.68,48,0,6147.93,27.6,52,4839,2,Churned,Yes,Other,Don't know
West Covina,34.061634,-117.893169,Male,Yes,No,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Mailed check,,Yes,6,95.15,1779.95,1.51,27.18,28,0,1796.96,10.17,18,4643,3,Churned,Yes,Other,Don't know
Alhambra,34.074736,-118.145959,Male,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer E,Yes,1,70.0,70.0,19.15,19.15,18,10,99.15,0.0,1,4094,3,Churned,Yes,Other,Don't know
Alpine,32.827184,-116.703729,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Electronic check,,No,0,74.5,606.55,1.78,14.24,7,0,620.79,0.0,8,4345,2,Churned,Yes,Dissatisfaction,Poor expertise of online support
Bonita,32.67117,-117.00232,Male,No,No,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Credit card (automatic),,No,0,44.85,435.4,49.58,495.8,17,0,931.2,0.0,10,4061,2,Churned,Yes,Competitor,Competitor made better offer
Boulevard,32.677097,-116.304991,Male,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer C,No,0,76.1,1712.7,30.87,740.88,15,0,2453.58,0.0,24,2018,2,Churned,Yes,Competitor,Competitor made better offer
Guatay,32.857946,-116.561917,Female,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Mailed check,,No,0,73.6,73.6,6.19,6.19,52,0,79.78999999999999,0.0,1,2565,1,Churned,Yes,Competitor,Competitor made better offer
Jacumba,32.649787,-116.2237,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,No,Month-to-month,Electronic check,Offer E,No,0,95.45,396.1,31.61,126.44,2,0,522.54,0.0,4,3677,3,Churned,Yes,Competitor,Competitor made better offer
Mount Laguna,32.830852,-116.444601,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer C,Yes,2,74.9,2303.35,47.34,1514.88,10,0,3818.23,0.0,32,4105,2,Churned,Yes,Attitude,Attitude of support person
Borrego Springs,33.200369,-116.192313,Male,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,No,Month-to-month,Electronic check,Offer E,No,0,80.6,415.55,5.78,28.9,52,40,448.01,36.44,5,5715,2,Churned,Yes,Competitor,Competitor made better offer
Carlsbad,33.098018,-117.258203,Female,Yes,No,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Credit card (automatic),Offer C,Yes,1,80.3,3058.65,42.14,1601.32,19,0,4659.97,0.0,38,2071,1,Churned,Yes,Other,Don't know
Del Mar,32.948262,-117.256086,Male,Yes,No,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,Offer C,Yes,1,93.15,2231.05,16.1,386.4,12,0,2617.4500000000003,0.0,24,2212,2,Churned,Yes,Competitor,Competitor made better offer
El Cajon,32.79697,-116.969082,Female,No,No,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),Offer B,No,0,82.45,4350.1,12.08,652.32,5,0,5002.42,0.0,54,4149,1,Churned,Yes,Competitor,Competitor made better offer
Escondido,33.079834,-117.134275,Female,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,Offer E,No,0,70.35,139.05,13.17,26.34,10,0,165.39,0.0,2,2671,3,Churned,Yes,Other,Don't know
Oceanside,33.254497,-117.285879,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Electronic check,,No,0,73.85,511.25,28.62,200.34,26,0,698.5600000000001,13.03,7,2473,3,Churned,Yes,Competitor,Competitor made better offer
Pala,33.384345,-117.072619,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,Mailed check,,No,0,80.6,155.8,5.32,10.64,20,0,166.44,0.0,2,2683,1,Churned,Yes,Competitor,Competitor made better offer
Palomar Mountain,33.309852,-116.823091,Male,Yes,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,Bank transfer (automatic),Offer A,Yes,1,75.8,5293.95,29.18,1984.24,18,90,7368.19,0.0,68,4903,3,Churned,Yes,Competitor,Competitor made better offer
Pauma Valley,33.313828,-116.940501,Female,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Electronic check,,No,0,104.6,4759.85,12.88,553.84,59,0,5313.6900000000005,0.0,43,5250,1,Churned,Yes,Competitor,Competitor made better offer
Ranchita,33.215251,-116.53633,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,,Yes,2,103.4,6603.0,48.95,3083.8500000000004,13,0,9686.85,0.0,63,4352,2,Churned,Yes,Competitor,Competitor made better offer
Valley Center,33.25283,-116.986079,Female,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,Offer E,No,0,90.4,168.2,10.53,21.06,8,0,189.26,0.0,2,4157,3,Churned,Yes,Other,Don't know
San Diego,32.747484,-117.166877,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),Offer E,Yes,5,84.8,371.9,28.77,115.08,19,0,486.98,0.0,4,4939,3,Churned,Yes,Competitor,Competitor made better offer
San Diego,32.741499,-117.127409,Female,No,No,No,No phone service,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Month-to-month,Electronic check,,No,0,41.9,840.1,0.0,0.0,8,0,840.1,0.0,21,4778,1,Churned,Yes,Competitor,Competitor made better offer
San Diego,32.741859,-117.090353,Female,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),,No,0,80.25,846.0,27.1,271.0,11,0,1117.0,0.0,10,3598,3,Churned,Yes,Competitor,Competitor made better offer
San Diego,32.774046,-117.142454,Male,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,No,No,No,Month-to-month,Credit card (automatic),,No,0,30.75,805.1,0.0,0.0,13,140,945.1,0.0,27,2927,1,Churned,Yes,Competitor,Competitor made better offer
