City,Latitude,Longitude,Gender,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Payment Method,Monthly Charges,Total Charges,Churn Label,CLTV,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Category,Churn Reason
Los Angeles,34.078821,-118.177576,Female,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Mailed check,64.7,1093.1,Yes,3022,No,0,NULL,40.55,41,No,Yes,Yes,0.0,0,689.3499999999999,1782.4499999999998,1,Churned,Competitor,Competitor offered higher download speeds
Los Angeles,34.110845,-118.259595,Male,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,69.7,316.9,Yes,2454,No,0,NULL,12.6,58,No,No,Yes,0.0,0,63.0,379.9,1,Churned,Competitor,Competitor had better devices
Los Angeles,34.137412,-118.207607,Male,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,106.35,3549.25,Yes,2941,No,0,Offer C,21.69,28,No,Yes,Yes,0.0,0,737.46,4286.71,2,Churned,Competitor,Competitor offered higher download speeds
Los Angeles,34.11572,-118.192754,Female,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes,5674,No,0,NULL,27.57,18,No,Yes,Yes,0.0,0,303.27,1408.67,3,Churned,Competitor,Competitor offered more data
Los Angeles,33.987945,-118.370442,Female,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Electronic check,80.65,144.15,Yes,5586,No,0,NULL,5.85,19,No,No,No,0.0,20,11.7,175.85,1,Churned,Competitor,Competitor had better devices
Los Angeles,33.92128,-118.274186,Female,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Credit card (automatic),99.1,1426.4,Yes,2966,No,0,NULL,3.96,20,No,Yes,Yes,0.0,0,59.4,1485.8000000000002,1,Churned,Competitor,Competitor offered more data
Los Angeles,34.044271,-118.185237,Female,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Credit card (automatic),80.65,633.3,Yes,5302,Yes,1,Offer E,48.85,17,No,No,Yes,0.0,0,390.8,1024.1,3,Churned,Competitor,Competitor made better offer
Los Angeles,34.108833,-118.229715,Male,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,95.45,1752.55,Yes,3179,No,0,Offer D,11.33,52,No,Yes,Yes,45.61,0,203.94,1910.88,2,Churned,Competitor,Competitor made better offer
Beverly Hills,34.063947,-118.383001,Female,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,94.4,857.25,Yes,5571,No,0,NULL,27.21,29,No,Yes,Yes,0.0,0,244.89,1102.14,3,Churned,Price,Price too high
Huntington Park,33.97803,-118.217141,Female,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Electronic check,79.35,79.35,Yes,2483,No,0,NULL,13.13,57,No,No,Yes,0.0,0,13.13,92.48,1,Churned,Competitor,Competitor had better devices
Lynwood,33.923573,-118.200669,Female,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Bank transfer (automatic),75.15,496.9,Yes,3457,Yes,1,NULL,8.69,53,No,No,Yes,0.0,0,60.83,557.73,1,Churned,Dissatisfaction,Service dissatisfaction
Marina Del Rey,33.977468,-118.445475,Female,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Electronic check,78.95,927.35,Yes,5806,No,0,NULL,25.34,56,No,No,No,0.0,80,304.08,1311.43,1,Churned,Attitude,Attitude of support person
Inglewood,33.956445,-118.358634,Male,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,21.05,113.85,Yes,2604,No,0,Offer E,34.26,0,No,No,No,0.0,0,171.29999999999998,285.15,3,Churned,Attitude,Attitude of support person
Inglewood,33.936291,-118.332639,Female,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,98.5,2514.5,Yes,5337,Yes,1,Offer C,19.76,12,No,No,Yes,13.43,0,494.00000000000006,2995.07,2,Churned,Dissatisfaction,Limited range of services
Santa Monica,34.031529,-118.491156,Male,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),110.0,7611.85,Yes,5034,Yes,4,Offer A,14.79,47,Yes,Yes,Yes,0.0,0,1005.72,8617.57,2,Churned,Competitor,Competitor had better devices
Torrance,33.867257,-118.330794,Male,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Electronic check,96.75,5238.9,Yes,5154,No,0,NULL,49.06,27,No,No,Yes,0.0,0,2698.3,7937.2,1,Churned,Price,Long distance charges
Whittier,33.972119,-118.020188,Female,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,76.5,2868.15,Yes,2793,Yes,1,Offer C,6.33,14,No,No,Yes,0.0,0,234.21,3102.36,2,Churned,Price,Extra data charges
Whittier,33.976678,-118.065875,Female,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Electronic check,100.25,1064.65,Yes,5998,Yes,1,NULL,24.48,30,No,Yes,Yes,0.0,0,244.8,1309.45,2,Churned,Price,Price too high
La Habra,33.940619,-117.9513,Male,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,74.4,229.55,Yes,4415,No,0,Offer E,14.6,71,No,Yes,Yes,8.74,0,43.8,264.61,1,Churned,Dissatisfaction,Product dissatisfaction
Pico Rivera,33.989524,-118.089299,Female,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Electronic check,78.05,2135.5,Yes,4638,No,0,Offer C,3.33,18,No,No,No,0.0,10,89.91,2235.41,1,Churned,Competitor,Competitor had better devices
Avalon,33.391181,-118.421305,Female,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),58.6,1502.65,Yes,4190,Yes,6,Offer C,0.0,48,No,Yes,Yes,4.48,0,0.0,1498.17,1,Churned,Attitude,Attitude of support person
Harbor City,33.798266,-118.300237,Male,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Electronic check,35.45,35.45,Yes,2301,No,0,Offer E,0.0,22,No,Yes,Yes,0.0,0,0.0,35.45,3,Churned,Dissatisfaction,Network reliability
Lakewood,33.840524,-118.148403,Male,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,44.35,81.25,Yes,2570,No,0,Offer E,46.84,3,No,No,Yes,0.0,0,93.68,174.93,3,Churned,Other,Don't know
Los Alamitos,33.79499,-118.065591,Female,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Mailed check,70.45,70.45,Yes,3964,Yes,1,Offer E,15.28,30,No,No,Yes,0.0,0,15.28,85.73,2,Churned,Other,Don't know
San Pedro,33.736387,-118.284363,Female,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Electronic check,71.15,563.65,Yes,2662,No,0,Offer E,48.14,18,Yes,Yes,Yes,0.0,0,385.12,948.77,1,Churned,Other,Don't know
Carson,33.822295,-118.26411,Male,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,45.65,45.65,Yes,2600,No,0,Offer E,14.12,24,No,No,Yes,0.0,0,14.12,59.77,1,Churned,Competitor,Competitor had better devices
Long Beach,33.783047,-118.1486,Male,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Mailed check,95.0,655.5,Yes,2786,No,0,Offer E,20.52,28,No,Yes,No,36.6,10,143.64,772.54,1,Churned,Competitor,Competitor had better devices
Altadena,34.196837,-118.142236,Female,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Electronic check,82.4,1592.35,Yes,5719,Yes,5,NULL,36.6,51,No,Yes,Yes,33.43,0,732.0,2290.92,1,Churned,Price,Price too high
Monrovia,34.1528,-118.000482,Female,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),70.9,273.0,Yes,4287,No,0,Offer E,33.5,27,No,No,Yes,8.74,0,134.0,398.26,1,Churned,Dissatisfaction,Product dissatisfaction
Sierra Madre,34.168686,-118.057505,Male,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,45.3,2651.2,Yes,5444,Yes,6,Offer B,0.0,24,No,No,Yes,40.95,0,0.0,2610.25,1,Churned,Dissatisfaction,Service dissatisfaction
Tujunga,34.296574,-118.244839,Female,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,104.4,242.8,Yes,4690,Yes,1,Offer E,11.51,53,Yes,Yes,Yes,45.44,0,23.02,220.38,3,Churned,Attitude,Attitude of support person
Pasadena,34.167465,-118.165327,Female,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Bank transfer (automatic),94.85,5000.2,Yes,4328,Yes,5,NULL,40.62,73,No,Yes,Yes,18.55,0,2152.86,7134.509999999999,1,Churned,Competitor,Competitor had better devices
Pasadena,34.139402,-118.128658,Female,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Mailed check,74.45,1145.7,Yes,5717,No,0,Offer D,44.07,19,No,No,Yes,0.0,0,661.05,1806.75,2,Churned,Dissatisfaction,Limited range of services
Pasadena,34.159007,-118.087353,Female,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Bank transfer (automatic),76.45,503.6,Yes,4419,No,0,Offer E,26.95,18,No,No,No,11.05,0,188.65,681.2,2,Churned,Price,Lack of affordable download/upload speed
Glendale,34.167926,-118.267539,Female,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Bank transfer (automatic),29.95,29.95,Yes,4534,No,0,Offer E,0.0,27,No,No,Yes,0.0,0,0.0,29.95,1,Churned,Competitor,Competitor had better devices
Glendale,34.136306,-118.26036,Male,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),84.5,662.65,Yes,2152,No,0,Offer E,25.73,19,No,Yes,Yes,33.21,0,205.84,835.28,2,Churned,Price,Extra data charges
Glendale,34.162515,-118.203869,Female,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Electronic check,79.25,1111.65,Yes,5142,No,0,NULL,33.54,76,No,No,Yes,48.25,0,436.02,1499.42,1,Churned,Competitor,Competitor had better devices
Glendale,34.182378,-118.262922,Female,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,24.8,24.8,Yes,4851,Yes,4,Offer E,0.0,29,No,Yes,Yes,0.0,0,0.0,24.8,1,Churned,Dissatisfaction,Product dissatisfaction
Canoga Park,34.224377,-118.632656,Male,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,91.0,531.0,Yes,2283,Yes,5,NULL,42.08,29,No,Yes,Yes,0.0,0,252.48,783.48,2,Churned,Dissatisfaction,Service dissatisfaction
Mission Hills,34.266389,-118.459744,Male,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Electronic check,79.9,79.9,Yes,3394,No,0,NULL,23.2,21,No,Yes,Yes,0.0,0,23.2,103.1,2,Churned,Attitude,Attitude of support person
Santa Clarita,34.502432,-118.41459,Female,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,106.6,1934.45,Yes,3764,No,0,NULL,28.35,19,Yes,Yes,No,21.72,40,538.65,2491.38,1,Churned,Dissatisfaction,Network reliability
Sun Valley,34.231053,-118.338307,Male,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Credit card (automatic),46.0,84.5,Yes,2667,No,0,NULL,49.81,41,No,Yes,Yes,0.0,0,99.62,184.12,3,Churned,Other,Don't know
Stevenson Ranch,34.364153,-118.615583,Female,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,70.15,268.35,Yes,2227,No,0,NULL,29.4,17,No,No,Yes,21.69,0,117.6,364.26,2,Churned,Other,Don't know
Panorama City,34.223768,-118.445461,Male,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Mailed check,50.05,179.35,Yes,3394,Yes,2,NULL,9.67,22,Yes,No,Yes,0.0,0,38.68,218.03,2,Churned,Competitor,Competitor made better offer
Van Nuys,34.17847,-118.459472,Female,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Mailed check,55.2,55.2,Yes,3638,No,0,NULL,35.6,58,No,Yes,Yes,0.0,0,35.6,90.8,2,Churned,Dissatisfaction,Poor expertise of online support
Burbank,34.213049,-118.317651,Male,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Mailed check,84.6,84.6,Yes,2484,No,0,NULL,26.85,11,No,Yes,Yes,0.0,0,26.85,111.45,2,Churned,Dissatisfaction,Poor expertise of phone support
North Hollywood,34.1692,-118.372498,Male,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Mailed check,54.4,114.1,Yes,2556,No,0,NULL,44.31,73,No,Yes,Yes,0.0,0,88.62,202.72,3,Churned,Price,Price too high
North Hollywood,34.207295,-118.400022,Female,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,95.0,1120.3,Yes,5980,No,0,Offer D,11.59,29,No,No,No,0.0,120,127.49,1367.79,1,Churned,Dissatisfaction,Product dissatisfaction
Covina,34.097345,-117.906736,Male,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Electronic check,74.4,1074.3,Yes,4616,No,0,Offer D,29.11,29,No,No,Yes,0.0,0,436.65,1510.9499999999998,1,Churned,Competitor,Competitor had better devices
Covina,34.084747,-117.886844,Male,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Mailed check,48.55,48.55,Yes,5687,No,0,NULL,11.35,9,No,No,Yes,0.0,0,11.35,59.9,1,Churned,Attitude,Attitude of support person
El Monte,34.079934,-118.046695,Female,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,70.4,147.15,Yes,5687,Yes,1,NULL,46.23,21,No,No,Yes,0.0,0,92.46,239.61,1,Churned,Dissatisfaction,Network reliability
El Monte,34.074492,-118.01462,Male,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Electronic check,40.2,40.2,Yes,5828,Yes,1,Offer E,0.0,12,No,No,Yes,0.0,0,0.0,40.2,2,Churned,Dissatisfaction,Limited range of services
La Puente,34.031441,-117.936436,Female,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Credit card (automatic),44.6,80.55,Yes,4884,Yes,3,Offer E,30.19,16,No,No,Yes,0.0,0,60.38,140.93,2,Churned,Price,Lack of affordable download/upload speed
La Puente,34.038983,-117.991372,Male,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Electronic check,41.15,132.2,Yes,2314,No,0,Offer E,0.0,28,No,Yes,Yes,0.0,0,0.0,132.2,2,Churned,Price,Long distance charges
Rowland Heights,33.976753,-117.897367,Male,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,106.9,1364.3,Yes,2494,No,0,Offer D,32.68,11,No,No,No,0.0,10,424.84,1799.14,1,Churned,Competitor,Competitor had better devices
Ontario,34.057256,-117.667677,Male,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.35,1099.6,Yes,5084,No,0,NULL,26.63,0,No,No,No,14.22,0,1571.1699999999998,2656.55,3,Churned,Price,Price too high
Ontario,34.074087,-117.605618,Female,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,94.45,1511.2,Yes,3810,No,0,Offer D,9.43,9,Yes,Yes,Yes,0.0,0,150.88,1662.08,1,Churned,Competitor,Competitor had better devices
Pomona,34.042286,-117.756106,Male,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Bank transfer (automatic),24.8,24.8,Yes,5087,No,0,Offer E,0.0,29,No,No,Yes,0.0,0,0.0,24.8,2,Churned,Dissatisfaction,Service dissatisfaction
Pomona,34.067932,-117.785168,Male,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Mailed check,70.6,70.6,Yes,3338,No,0,Offer E,44.59,41,No,No,Yes,0.0,0,44.59,115.19,2,Churned,Attitude,Attitude of support person
Rosemead,34.065108,-118.082791,Male,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Electronic check,85.4,401.1,Yes,3676,Yes,1,Offer E,42.29,16,Yes,No,Yes,45.37,0,211.45,567.1800000000001,3,Churned,Dissatisfaction,Network reliability
San Dimas,34.102119,-117.815532,Female,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,105.05,5624.85,Yes,4839,Yes,6,NULL,10.59,48,No,Yes,Yes,27.6,0,550.68,6147.93,2,Churned,Other,Don't know
West Covina,34.061634,-117.893169,Male,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Mailed check,95.15,1779.95,Yes,4643,Yes,6,NULL,1.51,28,No,Yes,Yes,10.17,0,27.18,1796.96,3,Churned,Other,Don't know
Alhambra,34.074736,-118.145959,Male,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,70.0,70.0,Yes,4094,Yes,1,Offer E,19.15,18,No,No,No,0.0,10,19.15,99.15,3,Churned,Other,Don't know
Alpine,32.827184,-116.703729,Male,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Electronic check,74.5,606.55,Yes,4345,No,0,NULL,1.78,7,No,No,Yes,0.0,0,14.24,620.79,2,Churned,Dissatisfaction,Poor expertise of online support
Bonita,32.67117,-117.00232,Male,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Credit card (automatic),44.85,435.4,Yes,4061,No,0,NULL,49.58,17,No,No,Yes,0.0,0,495.8,931.2,2,Churned,Competitor,Competitor made better offer
Boulevard,32.677097,-116.304991,Male,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,76.1,1712.7,Yes,2018,No,0,Offer C,30.87,15,No,No,Yes,0.0,0,740.88,2453.58,2,Churned,Competitor,Competitor made better offer
Guatay,32.857946,-116.561917,Female,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Mailed check,73.6,73.6,Yes,2565,No,0,NULL,6.19,52,No,Yes,Yes,0.0,0,6.19,79.78999999999999,1,Churned,Competitor,Competitor made better offer
Jacumba,32.649787,-116.2237,Female,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,95.45,396.1,Yes,3677,No,0,Offer E,31.61,2,No,No,Yes,0.0,0,126.44,522.54,3,Churned,Competitor,Competitor made better offer
Mount Laguna,32.830852,-116.444601,Male,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,74.9,2303.35,Yes,4105,Yes,2,Offer C,47.34,10,No,No,Yes,0.0,0,1514.88,3818.23,2,Churned,Attitude,Attitude of support person
Borrego Springs,33.200369,-116.192313,Male,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Electronic check,80.6,415.55,Yes,5715,No,0,Offer E,5.78,52,No,No,No,36.44,40,28.9,448.01,2,Churned,Competitor,Competitor made better offer
Carlsbad,33.098018,-117.258203,Female,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Credit card (automatic),80.3,3058.65,Yes,2071,Yes,1,Offer C,42.14,19,Yes,Yes,Yes,0.0,0,1601.32,4659.97,1,Churned,Other,Don't know
Del Mar,32.948262,-117.256086,Male,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,93.15,2231.05,Yes,2212,Yes,1,Offer C,16.1,12,No,Yes,Yes,0.0,0,386.4,2617.4500000000003,2,Churned,Competitor,Competitor made better offer
El Cajon,32.79697,-116.969082,Female,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Bank transfer (automatic),82.45,4350.1,Yes,4149,No,0,Offer B,12.08,5,Yes,Yes,Yes,0.0,0,652.32,5002.42,1,Churned,Competitor,Competitor made better offer
Escondido,33.079834,-117.134275,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,70.35,139.05,Yes,2671,No,0,Offer E,13.17,10,No,No,Yes,0.0,0,26.34,165.39,3,Churned,Other,Don't know
Oceanside,33.254497,-117.285879,Female,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,73.85,511.25,Yes,2473,No,0,NULL,28.62,26,No,Yes,Yes,13.03,0,200.34,698.5600000000001,3,Churned,Competitor,Competitor made better offer
Pala,33.384345,-117.072619,Female,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Mailed check,80.6,155.8,Yes,2683,No,0,NULL,5.32,20,No,No,Yes,0.0,0,10.64,166.44,1,Churned,Competitor,Competitor made better offer
Palomar Mountain,33.309852,-116.823091,Male,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Bank transfer (automatic),75.8,5293.95,Yes,4903,Yes,1,Offer A,29.18,18,Yes,Yes,No,0.0,90,1984.24,7368.19,3,Churned,Competitor,Competitor made better offer
Pauma Valley,33.313828,-116.940501,Female,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Electronic check,104.6,4759.85,Yes,5250,No,0,NULL,12.88,59,No,Yes,Yes,0.0,0,553.84,5313.6900000000005,1,Churned,Competitor,Competitor made better offer
Ranchita,33.215251,-116.53633,Male,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,103.4,6603.0,Yes,4352,Yes,2,NULL,48.95,13,No,Yes,Yes,0.0,0,3083.8500000000004,9686.85,2,Churned,Competitor,Competitor made better offer
Valley Center,33.25283,-116.986079,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,90.4,168.2,Yes,4157,No,0,Offer E,10.53,8,No,Yes,Yes,0.0,0,21.06,189.26,3,Churned,Other,Don't know
San Diego,32.747484,-117.166877,Male,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Bank transfer (automatic),84.8,371.9,Yes,4939,Yes,5,Offer E,28.77,19,No,Yes,Yes,0.0,0,115.08,486.98,3,Churned,Competitor,Competitor made better offer
San Diego,32.741499,-117.127409,Female,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,41.9,840.1,Yes,4778,No,0,NULL,0.0,8,No,No,Yes,0.0,0,0.0,840.1,1,Churned,Competitor,Competitor made better offer
San Diego,32.741859,-117.090353,Female,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),80.25,846.0,Yes,3598,No,0,NULL,27.1,11,No,Yes,Yes,0.0,0,271.0,1117.0,3,Churned,Competitor,Competitor made better offer
