City,Churn Label,Latitude,Longitude,Count
Annapolis,Yes,38.731055,-123.316553,1
Antelope,No,38.715498,-121.363411,2
Antelope,Yes,38.715498,-121.363411,2
Antioch,No,37.980057,-121.801599,2
Antioch,Yes,37.980057,-121.801599,2
Anza,No,33.527605,-116.666551,2
Anza,Yes,33.527605,-116.666551,2
Apple Valley,Yes,34.55082,-117.122396,4
Apple Valley,No,34.424926,-117.184503,3
Apple Valley,Yes,34.424926,-117.184503,2
Apple Valley,No,34.55082,-117.122396,1
Applegate,No,38.983388,-120.988814,3
Applegate,Yes,38.983388,-120.988814,1
Aptos,No,37.013471,-121.877877,3
Aptos,Yes,37.013471,-121.877877,1
Arbuckle,No,38.982373,-122.047751,3
Arbuckle,Yes,38.982373,-122.047751,1
Arcadia,No,34.137319,-118.029837,5
Arcadia,No,34.128284,-118.047732,4
Arcadia,Yes,34.128284,-118.047732,1
Arcata,No,40.839958,-124.003757,4
Armona,No,36.315979,-119.710852,2
Armona,Yes,36.315979,-119.710852,2
Arnold,No,38.32153,-120.236358,3
Arnold,Yes,38.32153,-120.236358,1
Aromas,No,36.878364,-121.629781,3
Aromas,Yes,36.878364,-121.629781,1
Arroyo Grande,No,35.176236,-120.483243,4
Artesia,No,33.867593,-118.080637,5
Arvin,No,35.116307,-118.817644,4
Atascadero,No,35.453912,-120.69461,4
Atherton,No,37.454924,-122.203168,2
Atherton,Yes,37.454924,-122.203168,2
Atwater,No,37.321233,-120.656354,2
Atwater,Yes,37.321233,-120.656354,2
Auberry,No,36.991762,-119.242874,4
Auburn,No,38.912881,-121.082766,4
Auburn,No,38.99003,-121.114408,2
Auburn,Yes,38.99003,-121.114408,2
Avalon,No,33.391181,-118.421305,3
Avalon,Yes,33.391181,-118.421305,2
Avenal,Yes,35.916943,-120.129921,3
Avenal,No,35.916943,-120.129921,1
Avery,No,38.208336,-120.339938,3
Avery,Yes,38.208336,-120.339938,1
Avila Beach,No,35.186644,-120.728305,4
Azusa,No,34.174493,-117.87068,4
Azusa,Yes,34.174493,-117.87068,1
Badger,No,36.64545,-118.924982,3
Badger,Yes,36.64545,-118.924982,1
Baker,No,35.28952,-116.092214,3
Baker,Yes,35.28952,-116.092214,1
Bakersfield,No,35.140938,-119.051348,4
Bakersfield,No,35.280113,-118.962329,4
Bakersfield,No,35.339796,-119.023552,4
Bakersfield,No,35.342891,-119.064803,4
Bakersfield,No,35.383937,-119.020428,4
Bakersfield,No,35.391733,-118.984109,4
Bakersfield,No,35.559617,-118.925185,4
Bakersfield,No,35.16207,-119.194488,3
Bakersfield,No,35.392599,-119.245341,3
Bakersfield,No,35.449881,-118.841442,3
Bakersfield,Yes,35.16207,-119.194488,1
Bakersfield,Yes,35.392599,-119.245341,1
Bakersfield,Yes,35.449881,-118.841442,1
Baldwin Park,No,34.098275,-117.967399,5
Ballico,No,37.4695,-120.672724,3
Ballico,Yes,37.4695,-120.672724,1
Bangor,No,39.396585,-121.38029,2
Bangor,Yes,39.396585,-121.38029,2
Banning,No,33.936298,-116.849577,4
Banning,Yes,33.936298,-116.849577,1
Barstow,No,34.965648,-117.001509,3
Barstow,Yes,34.965648,-117.001509,1
Bass Lake,No,37.458367,-119.345011,3
Bass Lake,Yes,37.458367,-119.345011,1
Bayside,No,40.825486,-124.049485,2
Bayside,Yes,40.825486,-124.049485,2
Beale Afb,No,39.125311,-121.392283,3
Beale Afb,Yes,39.125311,-121.392283,1
Beaumont,No,33.946982,-116.977672,4
Beaumont,Yes,33.946982,-116.977672,1
Bell,No,33.970343,-118.171368,4
Bella Vista,No,40.722733,-122.109666,3
Bella Vista,Yes,40.722733,-122.109666,1
Bellflower,No,33.887676,-118.127289,3
Bellflower,Yes,33.887676,-118.127289,2
Belmont,No,37.509366,-122.306132,3
Belmont,Yes,37.509366,-122.306132,1
Belvedere Tiburon,No,37.885629,-122.46858,4
Ben Lomond,No,37.078873,-122.090386,2
Ben Lomond,Yes,37.078873,-122.090386,1
Benicia,No,38.113533,-122.11926,4
Benton,No,37.653947,-118.231443,3
Benton,Yes,37.653947,-118.231443,1
Berkeley,No,37.866009,-122.286228,4
Berkeley,No,37.858898,-122.240512,3
Berkeley,No,37.872902,-122.303708,3
Berkeley,No,37.878554,-122.26609,3
Berkeley,No,37.897743,-122.263124,3
Berkeley,No,37.897753,-122.279391,3
Berkeley,No,37.863843,-122.275684,2
Berkeley,No,37.871416,-122.246597,2
Berkeley,Yes,37.863843,-122.275684,2
Berkeley,Yes,37.871416,-122.246597,2
Berkeley,Yes,37.858898,-122.240512,1
Berkeley,Yes,37.872902,-122.303708,1
Berkeley,Yes,37.878554,-122.26609,1
Berkeley,Yes,37.897743,-122.263124,1
Berkeley,Yes,37.897753,-122.279391,1
Berry Creek,No,39.657228,-121.37778,4
Bethel Island,No,38.050558,-121.646924,4
Beverly Hills,No,34.062095,-118.401508,5
Beverly Hills,No,34.099891,-118.414338,5
Beverly Hills,No,34.063947,-118.383001,4
Beverly Hills,Yes,34.063947,-118.383001,1
Bieber,No,41.083464,-121.107929,3
Bieber,Yes,41.083464,-121.107929,1
Big Bar,No,40.775272,-123.287414,4
Big Bear City,No,34.278967,-116.773825,2
Big Bear City,Yes,34.278967,-116.773825,2
Big Bear Lake,No,34.242058,-116.89802,4
Big Bend,No,41.096569,-121.879082,2
Big Bend,Yes,41.096569,-121.879082,2
Big Creek,No,37.17277,-119.2997,3
Big Creek,Yes,37.17277,-119.2997,1
Big Oak Flat,No,37.818589,-120.256995,2
Big Oak Flat,Yes,37.818589,-120.256995,2
Big Pine,No,37.245505,-118.062943,3
Big Pine,Yes,37.245505,-118.062943,1
Big Sur,No,36.092975,-121.549826,3
Big Sur,Yes,36.092975,-121.549826,1
Biggs,No,39.457388,-121.818201,4
Biola,Yes,36.798882,-120.019511,3
Biola,No,36.798882,-120.019511,1
Birds Landing,No,38.140719,-121.838298,3
Birds Landing,Yes,38.140719,-121.838298,1
Bishop,No,37.04584,-118.397236,4
Blairsden Graeagle,No,39.783747,-120.661032,3
Blairsden Graeagle,Yes,39.783747,-120.661032,1
Blocksburg,No,40.309088,-123.668201,4
Bloomington,No,34.059722,-117.39104,2
Bloomington,Yes,34.059722,-117.39104,2
Blue Lake,No,40.94338,-123.831799,2
Blue Lake,Yes,40.94338,-123.831799,2
Blythe,No,33.674583,-114.71612,4
Blythe,Yes,33.674583,-114.71612,1
Bodega,No,38.343282,-122.9755,4
Bodega Bay,No,38.377165,-123.037957,3
Bodega Bay,Yes,38.377165,-123.037957,1
Bodfish,Yes,35.523991,-118.400432,3
Bodfish,No,35.523991,-118.400432,1
Bolinas,No,37.943087,-122.72379,3
Bolinas,Yes,37.943087,-122.72379,1
Bonita,No,32.67117,-117.00232,3
Bonita,Yes,32.67117,-117.00232,2
Bonsall,No,33.290907,-117.202895,3
Bonsall,Yes,33.290907,-117.202895,2
Boonville,No,39.025867,-123.381544,4
Boron,No,34.95703,-117.73045,3
Boron,Yes,34.95703,-117.73045,1
Borrego Springs,No,33.200369,-116.192313,3
Borrego Springs,Yes,33.200369,-116.192313,2
Boulder Creek,Yes,37.171727,-122.142961,4
Boulevard,No,32.677097,-116.304991,3
Boulevard,Yes,32.677097,-116.304991,2
Bradley,No,35.842889,-121.004862,2
Bradley,Yes,35.842889,-121.004862,2
Branscomb,No,39.710591,-123.682799,2
Branscomb,Yes,39.710591,-123.682799,2
Brawley,No,33.03933,-115.191857,4
Brawley,Yes,33.03933,-115.191857,1
Brea,No,33.924143,-117.79387,2
Brea,No,33.930199,-117.862898,2
Brea,Yes,33.924143,-117.79387,2
Brea,Yes,33.930199,-117.862898,2
Brentwood,No,37.908242,-121.682472,4
Bridgeport,No,38.184583,-119.286558,4
Bridgeville,Yes,40.372532,-123.525626,3
Bridgeville,No,40.372532,-123.525626,1
Brisbane,No,37.684694,-122.40712,3
Brisbane,Yes,37.684694,-122.40712,1
Brookdale,No,37.106902,-122.100006,4
Brooks,No,38.809804,-122.241383,3
Brooks,Yes,38.809804,-122.241383,1
Browns Valley,No,39.292334,-121.320597,3
Browns Valley,Yes,39.292334,-121.320597,1
Brownsville,No,39.440687,-121.263583,3
Brownsville,Yes,39.440687,-121.263583,1
Buellton,No,34.631362,-120.238218,2
Buellton,Yes,34.631362,-120.238218,2
Buena Park,No,33.845706,-118.012204,3
Buena Park,No,33.874224,-117.993368,3
Buena Park,Yes,33.845706,-118.012204,2
Buena Park,Yes,33.874224,-117.993368,2
Burbank,No,34.169706,-118.323548,5
Burbank,No,34.174215,-118.345928,5
Burbank,No,34.213049,-118.317651,4
Burbank,No,34.177267,-118.31003,3
Burbank,Yes,34.188339,-118.300942,3
Burbank,No,34.188339,-118.300942,2
Burbank,Yes,34.177267,-118.31003,2
Burbank,Yes,34.213049,-118.317651,1
Burlingame,No,37.57028,-122.365778,2
Burlingame,Yes,37.57028,-122.365778,2
Burney,No,40.946785,-121.719489,2
Burney,Yes,40.946785,-121.719489,2
Burnt Ranch,No,40.854512,-123.450097,3
Burnt Ranch,Yes,40.854512,-123.450097,1
Burson,No,38.183918,-120.898817,4
Butte City,No,39.449794,-121.936372,3
Butte City,Yes,39.449794,-121.936372,1
Buttonwillow,No,35.451402,-119.488413,2
Buttonwillow,Yes,35.451402,-119.488413,2
Byron,Yes,37.83323,-121.601461,3
Byron,No,37.83323,-121.601461,1
Cabazon,No,33.929812,-116.76058,4
Cabazon,Yes,33.929812,-116.76058,1
Calabasas,No,34.130861,-118.68346,5
Calexico,No,32.690654,-115.431225,4
Calexico,Yes,32.690654,-115.431225,1
Caliente,No,35.358953,-118.527064,3
Caliente,Yes,35.358953,-118.527064,1
California City,No,35.151491,-117.927597,4
California Hot Springs,No,35.865795,-118.69759,3
California Hot Springs,Yes,35.865795,-118.69759,1
Calimesa,No,33.982787,-117.057627,3
Calimesa,Yes,33.982787,-117.057627,1
Calipatria,No,33.143826,-115.497485,4
Calipatria,Yes,33.143826,-115.497485,1
Calistoga,No,38.629618,-122.593216,3
Calistoga,Yes,38.629618,-122.593216,1
Callahan,No,41.388397,-122.794636,3
Callahan,Yes,41.388397,-122.794636,1
Calpine,No,39.672813,-120.456699,4
Camarillo,No,34.205504,-118.993111,3
Camarillo,Yes,34.227846,-119.079903,3
Camarillo,No,34.227846,-119.079903,1
Camarillo,Yes,34.205504,-118.993111,1
Cambria,No,35.591387,-121.032256,4
Camino,No,38.748316,-120.675512,3
Camino,Yes,38.748316,-120.675512,1
Camp Nelson,No,36.057458,-118.591951,2
Camp Nelson,Yes,36.057458,-118.591951,2
Campbell,No,37.279689,-121.954567,3
Campbell,Yes,37.279689,-121.954567,1
Campo,Yes,32.673483,-116.472863,3
Campo,No,32.673483,-116.472863,2
Campo Seco,No,38.233879,-120.861666,3
Campo Seco,Yes,38.233879,-120.861666,1
Camptonville,No,39.432127,-121.099287,3
Camptonville,Yes,39.432127,-121.099287,1
Canby,No,41.486953,-120.913975,3
Canby,Yes,41.486953,-120.913975,1
Canoga Park,No,34.19829,-118.602203,4
Canoga Park,No,34.224377,-118.632656,3
Canoga Park,Yes,34.224377,-118.632656,2
Canoga Park,Yes,34.19829,-118.602203,1
Cantua Creek,No,36.488056,-120.407691,3
Cantua Creek,Yes,36.488056,-120.407691,1
Canyon Country,No,34.422519,-118.420717,3
Canyon Country,Yes,34.422519,-118.420717,2
Canyon Dam,No,40.171312,-121.120605,2
Canyon Dam,Yes,40.171312,-121.120605,2
Capay,No,38.681651,-122.130569,4
Capistrano Beach,No,33.458754,-117.665104,3
Capistrano Beach,Yes,33.458754,-117.665104,1
Capitola,No,36.977025,-121.952864,3
Capitola,Yes,36.977025,-121.952864,1
Cardiff By The Sea,No,33.015866,-117.272254,4
Cardiff By The Sea,Yes,33.015866,-117.272254,1
Carlotta,No,40.497283,-123.93037,4
Carlsbad,No,33.098018,-117.258203,3
Carlsbad,No,33.148116,-117.306043,3
Carlsbad,Yes,33.098018,-117.258203,2
Carlsbad,Yes,33.148116,-117.306043,2
Carmel,No,36.460611,-121.852507,3
Carmel,Yes,36.460611,-121.852507,1
Carmel By The Sea,No,36.554618,-121.922239,3
Carmel By The Sea,Yes,36.554618,-121.922239,1
Carmel Valley,No,36.414611,-121.6386,3
Carmel Valley,Yes,36.414611,-121.6386,1
Carmichael,No,38.626128,-121.328011,2
Carmichael,Yes,38.626128,-121.328011,2
Carnelian Bay,No,39.227434,-120.091806,2
Carnelian Bay,Yes,39.227434,-120.091806,2
Carpinteria,No,34.441398,-119.513163,3
Carpinteria,Yes,34.441398,-119.513163,1
Carson,No,33.859171,-118.252272,5
Carson,No,33.822295,-118.26411,3
Carson,Yes,33.822295,-118.26411,2
Caruthers,No,36.5276,-119.865999,4
Casmalia,No,34.866032,-120.536546,3
Casmalia,Yes,34.866032,-120.536546,1
Caspar,No,39.361283,-123.784599,2
Caspar,Yes,39.361283,-123.784599,2
Cassel,No,40.936285,-121.572692,3
Cassel,Yes,40.936285,-121.572692,1
Castaic,No,34.506627,-118.699048,3
Castaic,Yes,34.506627,-118.699048,2
Castella,No,41.121108,-122.336613,2
Castella,Yes,41.121108,-122.336613,2
Castro Valley,No,37.722727,-122.02157,4
Castro Valley,No,37.708327,-122.083473,3
Castro Valley,Yes,37.708327,-122.083473,1
Castroville,No,36.784481,-121.759054,4
Cathedral City,No,33.829583,-116.474131,5
Catheys Valley,No,37.394411,-120.127262,3
Catheys Valley,Yes,37.394411,-120.127262,1
Cayucos,No,35.511833,-120.918713,4
Cazadero,No,38.578807,-123.19338,4
Cedar Glen,No,34.255203,-117.175654,3
Cedar Glen,Yes,34.255203,-117.175654,1
Cedarville,No,41.505916,-120.152505,4
Ceres,No,37.553469,-120.952825,4
Cerritos,No,33.8681,-118.067402,4
Cerritos,Yes,33.8681,-118.067402,1
Challenge,No,39.461768,-121.195825,2
Challenge,Yes,39.461768,-121.195825,2
Chatsworth,No,34.294142,-118.603883,4
Chatsworth,Yes,34.294142,-118.603883,1
Chester,No,40.243494,-121.154733,4
Chico,No,39.903272,-121.843567,4
Chico,No,39.745712,-121.84333,3
Chico,No,39.681488,-121.83721,2
Chico,Yes,39.681488,-121.83721,2
Chico,Yes,39.745712,-121.84333,1
Chilcoot,No,39.872961,-120.198876,4
Chino,No,33.990646,-117.663025,3
Chino,Yes,33.990646,-117.663025,2
Chino Hills,No,33.942895,-117.725644,5
Chowchilla,No,37.100948,-120.270136,4
Chualar,No,36.596271,-121.442274,3
Chualar,Yes,36.596271,-121.442274,1
Chula Vista,No,32.607964,-117.059459,5
Chula Vista,No,32.64164,-116.985026,5
Chula Vista,No,32.688506,-116.938632,4
Chula Vista,No,32.605012,-116.97595,3
Chula Vista,No,32.636792,-117.054989,3
Chula Vista,Yes,32.605012,-116.97595,2
Chula Vista,Yes,32.636792,-117.054989,2
Chula Vista,Yes,32.688506,-116.938632,1
Citrus Heights,No,38.69549,-121.307864,4
Citrus Heights,No,38.69508,-121.271616,3
Citrus Heights,Yes,38.69508,-121.271616,1
Claremont,No,34.127621,-117.717863,3
Claremont,Yes,34.127621,-117.717863,2
Clarksburg,No,38.384648,-121.578701,2
Clarksburg,Yes,38.384648,-121.578701,2
Clayton,No,37.881842,-121.848111,3
Clayton,Yes,37.881842,-121.848111,1
Clearlake,No,38.965804,-122.631779,2
Clearlake,Yes,38.965804,-122.631779,2
Clearlake Oaks,No,39.07116,-122.598542,2
Clearlake Oaks,Yes,39.07116,-122.598542,2
Clements,No,38.227285,-121.02789,3
Clements,Yes,38.227285,-121.02789,1
Clio,No,39.745805,-120.580882,4
Clipper Mills,No,39.562239,-121.14836,3
Clipper Mills,Yes,39.562239,-121.14836,1
Cloverdale,No,38.801936,-122.938935,3
Cloverdale,Yes,38.801936,-122.938935,1
Clovis,No,36.917652,-119.593757,4
Clovis,No,36.814539,-119.711868,2
Clovis,Yes,36.814539,-119.711868,2
Coachella,No,33.680031,-116.171678,4
Coachella,Yes,33.680031,-116.171678,1
Coalinga,No,36.186867,-120.387793,2
Coalinga,Yes,36.186867,-120.387793,2
Coarsegold,No,37.212191,-119.749323,4
Cobb,No,38.838088,-122.73203,3
Cobb,Yes,38.838088,-122.73203,1
Coleville,No,38.42528,-119.475741,4
Colfax,No,39.084645,-120.894014,3
Colfax,Yes,39.084645,-120.894014,1
Colton,No,34.030915,-117.273201,3
Colton,Yes,34.030915,-117.273201,1
Columbia,No,38.085839,-120.37855,2
Columbia,Yes,38.085839,-120.37855,2
Colusa,No,39.273096,-122.050763,3
Colusa,Yes,39.273096,-122.050763,1
Comptche,Yes,39.239818,-123.565432,3
Comptche,No,39.239818,-123.565432,1
Compton,No,33.88151,-118.234451,5
Compton,No,33.912246,-118.236773,5
Compton,No,33.885811,-118.206459,3
Compton,Yes,33.885811,-118.206459,2
Concord,No,37.950248,-122.022455,4
Concord,No,37.990118,-122.012188,3
Concord,Yes,38.013825,-122.039144,3
Concord,No,37.971421,-121.971504,2
Concord,Yes,37.971421,-121.971504,2
Concord,No,38.013825,-122.039144,1
Concord,Yes,37.990118,-122.012188,1
Cool,No,38.880622,-120.973865,3
Cool,Yes,38.880622,-120.973865,1
Copperopolis,No,37.943954,-120.67108,4
Corcoran,No,36.04533,-119.532424,3
Corcoran,Yes,36.04533,-119.532424,1
Corning,No,39.913777,-122.289984,3
Corning,Yes,39.913777,-122.289984,1
Corona,No,33.833686,-117.513063,4
Corona,No,33.893823,-117.531446,4
Corona,No,33.918043,-117.617809,4
Corona,No,33.762351,-117.488725,3
Corona,No,33.819385,-117.600213,3
Corona,Yes,33.762351,-117.488725,1
Corona,Yes,33.819385,-117.600213,1
Corona Del Mar,Yes,33.600987,-117.862734,3
Corona Del Mar,No,33.600987,-117.862734,1
Coronado,No,32.68674,-117.186612,3
Coronado,Yes,32.68674,-117.186612,2
Corte Madera,No,37.924014,-122.511694,3
Corte Madera,Yes,37.924014,-122.511694,1
Costa Mesa,No,33.678591,-117.905471,3
Costa Mesa,No,33.645672,-117.922613,2
Costa Mesa,Yes,33.645672,-117.922613,2
Costa Mesa,Yes,33.678591,-117.905471,1
Cotati,No,38.326215,-122.718742,2
Cotati,Yes,38.326215,-122.718742,2
Cottonwood,No,40.336392,-122.448533,3
Cottonwood,Yes,40.336392,-122.448533,1
Coulterville,No,37.722127,-120.110174,4
Courtland,No,38.311609,-121.554034,4
Covelo,No,39.83307,-123.178765,3
Covelo,Yes,39.83307,-123.178765,1
Covina,No,34.08111,-117.853935,5
Covina,No,34.084747,-117.886844,4
Covina,No,34.097345,-117.906736,3
Covina,Yes,34.097345,-117.906736,2
Covina,Yes,34.084747,-117.886844,1
Crescent City,No,41.701223,-124.003393,2
Crescent City,Yes,41.701223,-124.003393,2
Crescent Mills,No,40.080342,-120.957805,3
Crescent Mills,Yes,40.080342,-120.957805,1
Cressey,No,37.420273,-120.66527,4
Crestline,No,34.248061,-117.29028,2
Crestline,Yes,34.248061,-117.29028,2
Creston,No,35.480896,-120.469476,4
Crockett,No,38.049292,-122.228415,2
Crockett,Yes,38.049292,-122.228415,2
Crows Landing,No,37.435664,-121.049056,3
Crows Landing,Yes,37.435664,-121.049056,1
Culver City,No,34.019323,-118.391902,4
Culver City,No,33.993991,-118.39704,3
Culver City,Yes,33.993991,-118.39704,2
Culver City,Yes,34.019323,-118.391902,1
Cupertino,Yes,37.306612,-122.080621,2
Cupertino,No,37.306612,-122.080621,1
Cutler,No,36.497895,-119.285484,3
Cutler,Yes,36.497895,-119.285484,1
Cypress,No,33.818477,-118.038307,5
Daggett,No,34.875144,-116.821698,3
Daggett,Yes,34.875144,-116.821698,1
Daly City,Yes,37.691561,-122.445202,4
Daly City,No,37.680844,-122.48131,3
Daly City,Yes,37.680844,-122.48131,1
Dana Point,No,33.477923,-117.705314,2
Dana Point,Yes,33.477923,-117.705314,2
Danville,No,37.791481,-121.903253,4
Danville,No,37.815459,-121.977203,3
Danville,Yes,37.815459,-121.977203,1
Darwin,No,36.319181,-117.593053,4
Davenport,No,37.114335,-122.237162,2
Davenport,Yes,37.114335,-122.237162,2
Davis,No,38.508735,-121.678813,2
Davis,No,38.544002,-121.685559,2
Davis,Yes,38.508735,-121.678813,2
Davis,Yes,38.544002,-121.685559,2
Davis Creek,No,41.750354,-120.403885,3
Davis Creek,Yes,41.750354,-120.403885,1
Death Valley,No,36.27688,-117.033326,4
Deer Park,No,38.554383,-122.474773,2
Deer Park,Yes,38.554383,-122.474773,2
Del Mar,Yes,32.948262,-117.256086,3
Del Mar,No,32.948262,-117.256086,2
Del Rey,No,36.657462,-119.595293,4
Delano,No,35.772244,-119.209689,2
Delano,Yes,35.772244,-119.209689,2
Delhi,Yes,37.422961,-120.765493,3
Delhi,No,37.422961,-120.765493,1
Denair,No,37.524721,-120.757977,3
Denair,Yes,37.524721,-120.757977,1
Descanso,No,32.912664,-116.635387,5
Desert Center,No,33.889605,-115.257009,3
Desert Center,Yes,33.889605,-115.257009,2
Desert Hot Springs,No,33.948558,-116.516976,4
Desert Hot Springs,No,33.832799,-116.250973,3
Desert Hot Springs,Yes,33.832799,-116.250973,2
Desert Hot Springs,Yes,33.948558,-116.516976,1
Diamond Bar,No,33.992416,-117.807874,5
Diamond Springs,No,38.683605,-120.811852,2
Diamond Springs,Yes,38.683605,-120.811852,2
Dillon Beach,No,38.24458,-122.956268,4
Dinuba,Yes,36.523619,-119.386868,3
Dinuba,No,36.523619,-119.386868,1
Dixon,No,38.392821,-121.799917,3
Dixon,Yes,38.392821,-121.799917,1
Dobbins,No,39.381174,-121.21191,2
Dobbins,Yes,39.381174,-121.21191,2
Dorris,No,41.949216,-122.050062,3
Dorris,Yes,41.949216,-122.050062,1
Dos Palos,No,37.045728,-120.630682,4
Dos Rios,No,39.756049,-123.358701,4
Douglas City,No,40.586588,-122.903677,2
Douglas City,Yes,40.586588,-122.903677,2
Downey,No,33.921793,-118.140588,4
Downey,No,33.940884,-118.128628,4
Downey,No,33.956228,-118.120993,4
Downey,Yes,33.921793,-118.140588,1
Downey,Yes,33.940884,-118.128628,1
Downey,Yes,33.956228,-118.120993,1
Downieville,No,39.578792,-120.780786,3
Downieville,Yes,39.578792,-120.780786,1
Doyle,No,40.012675,-120.101857,3
Doyle,Yes,40.012675,-120.101857,1
Duarte,No,34.145695,-117.95982,3
Duarte,Yes,34.145695,-117.95982,2
Dublin,No,37.713926,-121.928425,2
Dublin,Yes,37.713926,-121.928425,2
Ducor,No,35.846067,-119.004073,3
Ducor,Yes,35.846067,-119.004073,1
Dulzura,No,32.622999,-116.687855,4
Dulzura,Yes,32.622999,-116.687855,1
Duncans Mills,No,38.445603,-123.063756,4
Dunlap,No,36.789213,-119.140338,3
Dunlap,Yes,36.789213,-119.140338,1
Dunnigan,No,38.931425,-121.946081,2
Dunnigan,Yes,38.931425,-121.946081,2
Dunsmuir,No,41.212695,-122.392067,3
Dunsmuir,Yes,41.212695,-122.392067,1
Durham,No,39.607831,-121.777959,4
Dutch Flat,No,39.197215,-120.83679,2
Dutch Flat,Yes,39.197215,-120.83679,2
Eagleville,No,41.280341,-120.150381,2
Eagleville,Yes,41.280341,-120.150381,2
Earlimart,No,35.858054,-119.305858,3
Earlimart,Yes,35.858054,-119.305858,1
Earp,No,34.137742,-114.36514,5
Echo Lake,No,38.851842,-120.076204,3
Echo Lake,Yes,38.851842,-120.076204,1
Edwards,No,34.966777,-117.961179,3
Edwards,Yes,34.966777,-117.961179,1
El Cajon,No,32.785165,-116.862648,4
El Cajon,No,32.79697,-116.969082,4
El Cajon,No,32.832706,-116.873258,4
El Cajon,Yes,32.785165,-116.862648,1
El Cajon,Yes,32.79697,-116.969082,1
El Cajon,Yes,32.832706,-116.873258,1
El Centro,No,32.770393,-115.60915,4
El Centro,Yes,32.770393,-115.60915,1
El Cerrito,No,37.924838,-122.289145,4
El Dorado,No,38.63153,-120.842609,3
El Dorado,Yes,38.63153,-120.842609,1
El Dorado Hills,No,38.684437,-121.055634,4
El Monte,Yes,34.074492,-118.01462,3
El Monte,Yes,34.079934,-118.046695,3
El Monte,No,34.074492,-118.01462,2
El Monte,No,34.079934,-118.046695,2
El Nido,No,37.127386,-120.506422,4
El Portal,No,37.654551,-119.822984,4
El Segundo,No,33.917145,-118.401554,4
El Segundo,Yes,33.917145,-118.401554,1
El Sobrante,No,37.963995,-122.288296,3
El Sobrante,Yes,37.963995,-122.288296,1
Eldridge,Yes,38.348884,-122.51699,4
Elk,No,39.108252,-123.645121,3
Elk,Yes,39.108252,-123.645121,1
Elk Creek,No,39.53222,-122.594879,3
Elk Creek,Yes,39.53222,-122.594879,1
Elk Grove,No,38.35363,-121.44195,2
Elk Grove,No,38.434138,-121.30587,2
Elk Grove,Yes,38.35363,-121.44195,2
Elk Grove,Yes,38.434138,-121.30587,2
Elmira,No,38.349195,-121.902943,2
Elmira,Yes,38.349195,-121.902943,2
Elverta,No,38.734997,-121.463719,2
Elverta,Yes,38.734997,-121.463719,2
Emeryville,No,37.83726,-122.287648,2
Emeryville,Yes,37.83726,-122.287648,2
